Genes,M-Expression,S-Expression,G-Expression
Vstm2b,0,0,0
4930430E12Rik,1,1,1
Wdr43,1,1,1
Cd151,0,1,0
Nog,0,0,0
Il11,1,1,1
Cdkn1c,0,0,0
Ncoa1,0,0,0
Bicral,0,0,0
Fbl,1,1,1
Ppan,1,1,1
Ckap4,1,1,1
Gas6,0,0,0
Sdad1,1,1,1
Ltbp4,0,0,0
Hat1,1,1,1
Nfkbid,1,1,1
Mcm2,0,1,1
Arhgap30,1,1,1
Htra1,0,0,0
Gulp1,0,0,0
9930038B18Rik,0,0,0
Adra2a,1,0,0
Golt1b,1,1,1
Filip1,0,0,0
Mdn1,1,1,1
Plcb1,0,0,0
Gpr35,1,1,1
Atp2a3,0,0,0
Brix1,1,1,1
Fbln2,0,0,0
Rere,0,0,0
Actn1,1,1,0
Ampd2,1,1,1
Thbs1,1,1,1
Ackr1,1,1,1
Polr1a,1,1,1
Fam171a1,0,0,0
Cyp2d22,0,0,0
Hcn2,0,0,0
Sema5a,1,0,0
Col4a2,1,1,1
Ncl,1,1,1
Pou2f3,1,0,0
Atxn1,0,0,0
Ppm1j,1,1,1
Snd1,1,1,1
Slc25a51,0,0,0
Rabggtb,1,1,1
Pus1,1,1,1
Srrt,1,1,1
Smad9,0,0,0
Sec61a1,1,1,1
Tbc1d30,0,0,0
Ccn3,0,0,0
Rnf144b,0,0,0
Lpin3,1,1,1
Crebl2,0,0,0
Lrrc8b,0,0,0
Gm38197,1,1,1
Cep85l,0,0,0
Serpinb2,1,1,1
Habp4,0,0,0
Lcn2,1,1,1
Gab1,0,0,0
Pira12,1,1,1
Odc1,1,1,1
Farsa,1,1,1
Atp1b1,1,0,0
Lif,1,1,1
Ormdl3,0,0,0
Gpatch4,1,1,1
Prkd3,0,0,0
Hnrnpab,1,1,1
Ank,0,0,0
Utp20,1,1,1
Ppp1r3c,1,0,0
Hid1,1,1,1
Sh2b2,1,1,1
Mxd4,0,0,0
Paqr7,0,0,0
Extl3,0,0,0
Wdr6,0,0,0
Ccr7,1,1,1
Ctu2,1,1,1
Bak1,1,1,1
Ppm1h,0,0,0
Clec5a,1,1,1
Utrn,0,0,0
Gsr,1,1,1
Emilin2,1,1,1
Miga1,0,0,0
Sertad2,0,0,0
Sptbn1,0,0,0
Mmp14,1,1,1
Rpl10,1,1,1
Rsl1d1,1,1,1
Ube2s,1,1,1
Adamts8,1,1,1
Fyco1,0,0,0
Mtap,0,1,1
Timp1,1,1,1
Stim1,1,0,0
Hmg20a,0,0,0
Hlf,0,0,0
Alox5ap,1,1,1
Psmd11,1,1,1
Scimp,1,1,1
B3gnt5,1,1,1
Npm1,1,1,1
Ppp4c,1,1,1
Snhg6,1,1,1
Oip5os1,0,0,0
Ppm1k,1,0,0
Mefv,1,1,1
Hnrnpa2b1,1,1,1
Wdr74,1,1,1
Ptgfr,0,0,0
Npas2,1,0,0
Neo1,0,0,0
Nat8f4,0,0,0
Nle1,1,1,1
Rpsa,1,1,1
Flt1,0,0,0
Elf4,1,1,1
Tarm1,1,1,1
Mindy2,0,0,0
Nuak1,0,0,0
Sema3c,0,0,0
Tm7sf3,0,0,0
Slc22a6,0,0,0
Sptan1,0,0,0
